TelCon,Content code,start,end,duration,content,topic
F33,p,324.416,328.948,4.532,cF,clothing
F33,pp,328.948,329.573,0.625,cF rM,clothing
F33,p,329.573,331.282,1.709,rM,clothing
F33,p,331.282,331.425,0.143,cF,clothing
F33,pp,331.425,332.47,1.045,cF rM,clothing
F33,p,332.47,332.731,0.261,cF,clothing
F33,s,332.731,333.6,0.869,silence,clothing
F33,p,333.6,337.726,4.126,rM,clothing
F33,pp,337.726,338.006,0.28,cF rM,clothing
F33,p,338.006,338.137,0.131,rM,clothing
F33,s,338.137,338.828,0.691,silence,clothing
F33,pp,338.828,339.09,0.262,cF rM,clothing
F33,p,339.09,339.511,0.421,cF,clothing
F33,s,339.511,340.174,0.663,silence,clothing
F33,p,340.174,340.912,0.738,rM,clothing
F33,s,340.912,341.417,0.505,silence,clothing
F33,p,341.417,343.64,2.223,rM,canvas
F33,s,343.64,344.21,0.57,silence,canvas
F33,p,344.21,347.776,3.566,cF,canvas
F33,p,347.776,348.104,0.328,rM,canvas
F33,pp,348.104,350.262,2.158,cF rM,canvas
F33,p,350.262,350.804,0.542,cF,canvas
F33,s,350.804,351.374,0.57,silence,canvas
F33,p,351.374,353.466,2.092,rM,canvas
F33,pbc,353.466,353.915,0.449,bc_cF rM,canvas
F33,p,353.915,358.045,4.13,rM,canvas
F33,pbc,358.045,358.512,0.467,bc_cF rM,canvas
F33,p,358.512,360.11,1.598,rM,canvas
F33,f,360.11,360.727,0.617,filler_rM,canvas
F33,p,360.727,364.488,3.761,rM,canvas
F33,p,364.488,364.967,0.479,cF,canvas
F33,f,364.967,365.902,0.935,filler_rM,canvas
F33,p,365.902,370.806,4.904,rM,canvas
F33,s,370.806,372.779,1.973,silence,canvas
F33,p,372.779,372.901,0.122,cF,canvas
F33,pf,372.901,373.503,0.602,cF filler_rM,canvas
F33,p,373.503,379.525,6.022,cF,canvas
F33,p,379.525,379.899,0.374,rM,canvas
F33,s,379.899,380.876,0.977,silence,canvas
F33,f,380.876,381.245,0.369,filler_cF,canvas
F33,p,381.245,391.108,9.863,cF,canvas
F33,s,391.108,392.36,1.252,silence,canvas
F33,p,392.36,395.779,3.419,rM,canvas
F33,pbc,395.779,396.265,0.486,bc_cF rM,canvas
F33,p,396.265,398.209,1.944,rM,canvas
F33,p,398.209,398.545,0.336,cF,canvas
F33,s,398.545,399.246,0.701,silence,canvas
F33,p,399.246,399.573,0.327,cF,canvas
F33,pp,399.573,400.068,0.495,cF rM,canvas
F33,p,400.068,401.077,1.009,cF,canvas
F33,s,401.077,401.724,0.647,silence,canvas
F33,p,401.724,404.087,2.363,rM,canvas
F33,s,404.087,404.302,0.215,silence,canvas
F33,p,404.302,406.844,2.542,cF,canvas
F33,s,406.844,407.414,0.57,silence,canvas
F33,p,407.414,411.575,4.161,rM,canvas
F33,p,411.575,412.037,0.462,cF,canvas
F33,s,412.037,412.504,0.467,silence,canvas
F33,f,412.504,413.074,0.57,filler_rM,airmap
F33,p,413.074,414.532,1.458,rM,airmap
F33,s,414.532,415.036,0.504,silence,airmap
F33,p,415.036,424.926,9.89,cF,airmap
F33,p,424.926,425.556,0.63,rM,airmap
F33,pp,425.556,426.765,1.209,cF rM,airmap
F33,p,426.765,427.938,1.173,cF,airmap
F33,s,427.938,429.797,1.859,silence,airmap
F33,p,429.797,432.983,3.186,rM,airmap
F33,s,432.983,433.151,0.168,silence,airmap
F33,p,433.151,433.572,0.421,cF,airmap
F33,s,433.572,434.665,1.093,silence,airmap
F33,p,434.665,436.009,1.344,rM,airmap
F33,f,436.009,436.71,0.701,filler_rM,airmap
F33,p,436.71,452.294,15.584,rM,airmap
F33,p,452.294,453.593,1.299,cF,airmap
F33,f,453.593,454.1,0.507,filler_cF,airmap
F33,p,454.1,459.688,5.588,cF,airmap
F33,pbc,459.688,459.94,0.252,bc_rM cF,airmap
F33,p,459.94,462.323,2.383,cF,airmap
F33,pp,462.323,462.734,0.411,cF rM,airmap
F33,p,462.734,478.753,16.019,cF,airmap
F33,f,478.753,479.557,0.804,filler_cF,airmap
F33,p,479.557,494.189,14.632,cF,airmap
F33,s,494.189,494.964,0.775,silence,airmap
F33,p,494.964,497.038,2.074,rM,airmap
F33,l,497.038,498.224,1.186,laughter_rM,airmap
F33,s,498.224,499.299,1.075,silence,airmap
F33,p,499.299,504.022,4.723,cF,airmap
F33,s,504.022,505.615,1.593,silence,airmap
F33,p,505.615,516.584,10.969,rM,airmap
F33,pbc,516.584,517.041,0.457,bc_cF rM,airmap
F33,p,517.041,523.422,6.381,rM,airmap
F33,pbc,523.422,523.955,0.533,bc_cF rM,airmap
F33,p,523.955,535.173,11.218,rM,airmap
F33,pbc,535.173,535.593,0.42,bc_cF rM,airmap
F33,p,535.593,540.656,5.063,rM,airmap
F33,s,540.656,543.235,2.579,silence,airmap
F33,p,543.235,545.021,1.786,cF,airmap
F33,s,545.021,546.002,0.981,silence,airmap
F33,p,546.002,547.811,1.809,rM,airmap
